tide_height,wind_speed,sea_temp,rainfall,mangrove_index,past_event,risk_level,region_name,timestamp___date,tide_zone
1.9483748199826636,13.27350613490497,27.033018593616752,11.88513724986398,0.6892831758339897,None,Safe,Tamil Nadu Coast,27-11-1999,Low Tide
1.7236596314281887,26.673582197840524,26.565789930316168,46.225110906155585,0.6081491621202423,Illegal dumping,Caution,Odisha Coast,10-05-1982,High Tide
1.7978407802596714,19.035378875922305,26.658646431694407,19.267083578004055,0.7292534342705809,Illegal dumping,Dangerous,Kerala Coast,04-10-1994,Intertidal
1.810859797827667,45.31906884881729,21.13617932709645,0.28032479083481343,0.8252947896484266,Illegal dumping,Caution,Odisha Coast,26-09-2016,Offshore
1.3843566071526625,18.779902017654184,29.06667885359557,25.45398171335195,0.5467289920959796,None,Safe,Odisha Coast,19-03-1994,Low Tide
0.8211267055043207,10.61527214387774,26.054546500516444,2.062837252284309,0.5560945055878457,None,Safe,Mumbai Coast,03-10-2012,High Tide
1.621788578975089,2.4530073630158133,23.94757032931086,35.59365146682178,0.8090986346168275,Cyclone,Dangerous,Kerala Coast,23-11-2010,Intertidal
2.1332020243754957,26.657620497758135,29.77476630347771,2.7034934196783755,0.3683772980302722,None,Safe,Kerala Coast,13-09-1995,Offshore
1.1970608648854226,19.375424109419512,25.201404564925824,5.424180098149218,0.5655127537424631,None,Safe,Kerala Coast,25-02-1997,Low Tide
2.0863399519398427,9.713077463112239,27.071196448031962,30.353156516136682,1.0085020054841118,Algal bloom,Caution,Odisha Coast,11-04-1981,High Tide
3.0721611270310247,41.096056857249934,31.8522434297471,67.20068713684479,0.5161439204033532,None,Safe,Tamil Nadu Coast,12-01-2017,Intertidal
2.562047094407573,33.66640235340089,25.029084629316195,10.160657587111231,0.9106332777058918,None,Safe,Kerala Coast,13-02-1992,Offshore
3.0245435927386306,26.285493781590194,24.1480888601546,37.79740693146675,0.5857777835224276,None,Safe,West Bengal Coast,10-04-1995,Low Tide
2.2043271359269565,42.8792735829652,28.708227966248238,6.6061473503184365,0.7957044471723318,Cyclone,Dangerous,Odisha Coast,28-06-2019,High Tide
2.678808426941945,34.186345182062446,30.951919424712962,36.156582452550204,0.8416465469884054,Algal bloom,Caution,Mumbai Coast,10-11-2011,Intertidal
1.5916576226637213,19.156873109670926,23.96724960657337,21.0438422104724,0.892118072200686,None,Safe,Tamil Nadu Coast,10-02-2011,Offshore
1.6630058054071564,13.917562112468536,28.79087012325881,5.609929033482269,0.6540679416583963,Cyclone,Dangerous,West Bengal Coast,03-06-2010,Low Tide
0.3249617492869603,37.94371246236007,29.21703735672744,5.681271995066382,0.9913800799594928,None,Safe,West Bengal Coast,14-10-2002,High Tide
2.6616148113850273,32.78240687884292,23.033354614578847,4.149992779724063,0.5760637738145666,Rising sea level,Caution,Mumbai Coast,12-08-1984,Intertidal
2.9852153831650603,30.021208203810595,30.249562526491083,9.32316115379861,0.7309793119075095,Rising sea level,Caution,Tamil Nadu Coast,08-02-1982,Intertidal
1.6404262258172075,17.290514439355995,30.621542093435888,3.0580052140347775,0.7369507926350837,Algal bloom,Caution,Odisha Coast,22-12-2008,Low Tide
1.9161300980308587,33.53694059307603,27.129526762429265,20.878518798935264,0.522697535759999,None,Safe,Gujarat Coast,16-10-2017,High Tide
